# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.023479714941 t_sap_s=0.023479714941
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=0.998202067567 agree=10 voting=225 distinct=72 largest_block=9
# modal_lead_hz=0.998202067567
# df_hz=0.166367011261 quant_px=0 coherence_gate=0.493299654026 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.998202067567 agree=9 input=225 survivors=81 snr_cull=0 sigma_cull=0 neigh_cull=144 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.0373082386063 median=0.559643069981 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=81
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
140,9,5,3.66007424775,4.02071628301,0.665759491217,0,0,0,0.539985279358,1,0,1,0.390598826107
141,9,6,6.82104746171,4.67837424491,0.755552230359,0,0,0,0.517712928186,1,0,0,0.375657574334
142,9,7,6.82104746171,4.67837424491,0.704158381944,0,0,0,0.517712928186,1,0,0,0.375657574334
143,9,8,18.46673825,5.73258285974,0.673333301772,0,0,0,0.578357498555,1,0,0,0.40074444778
144,9,9,0.998202067567,13.4799568957,0.986599308053,0,0,0,0.0373082386063,1,1,1,0.00280835308161
145,9,10,0.998202067567,12.6587097027,0.947427149475,0,0,0,0.0581018646764,1,1,1,0.00220697074385
146,9,11,0.998202067567,12.6587097027,0.947934742412,0,0,0,0.0581018646764,1,1,1,0.00220697074385
147,9,12,3.32734022522,3.86488031109,0.634678222983,0,0,0,0.530612319441,1,0,1,0.421934968067
148,9,13,3.32734022522,3.86488031109,0.680964097976,0,0,0,0.530612319441,1,0,1,0.421934968067
149,9,14,8.31835056306,6.34044381455,0.660598614981,0,0,0,0.594142724013,1,0,0,0.38617393795
150,10,0,19.6313073288,4.68009580958,0.699818814022,0,0,0,0.582650466771,1,0,0,0.455663505166
151,10,1,0.831835056306,4.89634056429,0.663010478316,0,0,0,0.529573303907,1,0,1,0.406295757624
