#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
3A|MZ61|42.634324|13.314377|1001|Collepagliuca - IDPA-CNR/IMAA-CNR|2016-09-27T15:20:00|2016-11-24T23:59:59
3A|MZ62|42.635|13.326|1086|Voceto - IDPA-CNR|2016-09-28T10:00:00|2016-10-26T08:00:00
3A|MZ63|42.629805|13.323448|1071|Collecreta - IDPA-CNR/IMAA-CNR|2016-09-28T12:40:00|2016-11-24T23:59:59
3A|MZ64|42.622|13.339|1111|Capricchia - IDPA-CNR|2016-09-29T10:00:00|2016-10-27T09:00:00
3D|OEM5|38.4223|14.9661|49|OEM5|2021-10-07T09:00:00|2025-01-27T11:00:00
3D|OEM7|38.4825|14.9707|259|OEM7|2021-09-28T09:00:00|
3D|OEM8|38.4689|14.9168|198|OEM8|2021-11-03T10:30:00|2025-01-28T11:00:00
3D|OEM9|38.3879|14.9908|462|OEM9|2021-11-03T10:30:00|2025-01-27T09:00:00
3D|OEM4|38.4095|14.9422|183|rete mobile - Isola di Vulcano (Lentia)|2021-10-21T10:07:18|
3H|T0401|43.0621|13.59567|343.0|Montottone (Fermo)|2010-01-13T10:40:00|2010-03-11T08:00:00
3H|T0402|43.2213|13.4063|212.0|Abbadia di Fiastra - Tolentino (MC)|2010-01-13T14:10:00|2010-03-06T22:00:00
3M|FAB00|40.52403836|9.348188819|759.5|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB01|40.52407369|9.347444451|757.5|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB02|40.52369253|9.347261923|758.4000244|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB03|40.52454795|9.34785673|757.7000122|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB04|40.5241406|9.347895772|758.2000122|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB05|40.52485915|9.347515418|759|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB06|40.52422|9.34783|758|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB07|40.52421623|9.347707001|757.7000122|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB08|40.52451156|9.349283416|768.9000244|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB09|40.52430317|9.347887227|757.9000244|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB10|40.52311372|9.347434199|759.7999878|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB13|40.52410831|9.348712659|761.7999878|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB14|40.52529594|9.349579114|771|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB15|40.52252613|9.348176539|767.9000244|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3M|FAB16|40.52503471|9.346772384|759.7000122|P2 Array 2024|2024-11-20T14:30:00|2024-11-21T12:30:00
3Q|T1811|39.56904|16.77169|226.0|Crosia|2024-08-02T15:00:00|2025-09-16T10:20:00
3Q|T1812|39.48464|16.50149|1131.0|Acri|2024-08-02T17:36:00|2025-09-11T19:34:00
3Q|T1813|39.31469|16.75119|1211.0|Savelli|2024-08-03T13:30:00|2025-09-18T08:36:00
3Q|T1886|39.287|16.97583|524.0|San Nicola dell'Alto (KR)|2024-08-28T13:00:00|2025-08-06T04:16:00
3S|MC51|40.076196|16.3881|380.0|Sodano S. Giorgio L.|2021-07-12T14:20:56|2022-06-16T12:37:32
3S|MC53|40.164506|16.435542|300.0|Valsinni|2021-07-12T14:45:51|2022-04-19T15:50:47
3S|MOC1|40.199294|16.368407|452.0|Colobraro|2021-06-22T09:04:34|2022-06-04T17:22:00
3S|MOC2|40.13404|16.361631|475.0|San Giorgio Lucano , Tenuta Marino|2021-06-22T15:15:01|2022-06-14T10:58:05
3S|MOC3|40.045743|16.186639|802.0|San Severino Lucano, Villaneto|2021-06-22T00:00:00|2022-06-13T15:48:44
3S|MOC4|40.164124|16.283555|438.0|Senise, Contrada Santa Lucia|2021-06-22T16:27:36|2022-06-14T13:22:37
4A|MI01|42.358036|13.509768|740|Pescomaggiore, Italy|2009-04-07T07:00:00|2009-04-27T11:15:00
4A|MI02|42.354488|13.474283|648|Paganica, Italy|2009-04-07T08:38:00|2009-04-29T07:40:00
4A|MI03|42.327415|13.475692|581|Onna|2009-04-07T11:35:00|2009-06-09T09:30:00
4A|MI04|42.303127|13.481393|612|Fossa|2009-04-07T15:00:00|2009-04-27T09:30:00
4A|MI05|42.289474|13.525255|585|S. Eusanio Forconese, Italy|2009-04-07T17:00:00|2009-04-28T08:30:00
4A|MI06|42.389389|13.497867|807||2009-04-27T14:10:00|2009-06-09T08:50:00
4A|MI07|42.336216|13.445907|662||2009-04-27T17:15:00|2009-06-09T08:15:00
4A|MI08|42.357418|13.371338|650||2009-04-28T13:15:00|2009-06-09T10:15:00
4A|MI09|42.365768|13.414442|782|San Giacomo|2009-04-28T15:20:00|2009-06-09T08:20:00
4A|MI10|42.336761|13.430795|607||2009-04-29T11:30:00|2009-06-08T15:00:00
4A|PC04|42.316841|13.46598|684|Monticchio (on limestone)|2009-04-29T16:30:00|2009-05-07T15:30:00
4A|PC05|42.31691|13.46131|660|Monticchio (on alluvial deposits)|2009-04-29T17:30:00|2009-05-07T16:00:00
4C|KEA00|38.163317|20.505549|0|Center of French Array, in the park|2014-02-04T00:00:00|2014-05-22T00:00:00
4C|KEB01|38.165482|20.508014|0|Center of German array, in the park|2014-02-05T00:00:00|2014-05-21T00:00:00
4C|KEFOR|38.162392|20.507111|4|Forestry Corps|2014-02-05T00:00:00|2014-05-21T00:00:00
4C|KER02|38.166275|20.510494|6|Water pump area|2011-09-17T15:40:00|2014-05-21T00:00:00
4C|KES02|38.166309|20.50905|0|Pedestrian area|2011-09-16T11:40:00|2012-04-11T23:59:00
4C|KES04|38.165619|20.508169|0|Pedestrian area|2011-09-16T11:50:00|2012-04-17T08:20:00
4C|KES06|38.164959|20.5075|0|Pedestrian area|2011-09-16T14:10:00|2012-04-17T09:00:00
4C|KES08|38.164188|20.50683|0|Pedestrian area|2011-09-17T08:40:00|2012-04-17T09:40:00
4C|KES11|38.163361|20.50548|0|Pedestrian area - middle of array A (french)|2011-09-17T14:10:00|2012-04-17T13:30:00
4C|KES13|38.163348|20.503992|5|Pedestrian area, behind environment Center|2011-09-17T10:20:00|2014-05-22T00:00:00
