# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.0234529732963 t_sap_s=0.0234529732963
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.83212377625 agree=9 voting=225 distinct=75 largest_block=4
# modal_lead_hz=0
# df_hz=0.166556706932 quant_px=0 coherence_gate=0.377156494328 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=1.33245365546 agree=8 input=225 survivors=88 snr_cull=0 sigma_cull=0 neigh_cull=137 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.471822627513 median=0.54483148903 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=88
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
41,2,11,11.9920828991,6.70801959625,0.658728993037,0,0,0,0.520530188573,1,0,1,0.401377295377
42,2,12,7.16193839808,5.26746413756,0.61054243623,0,0,0,0.562294496995,1,0,0,0.38823479855
43,2,13,7.16193839808,5.26746413756,0.649667076323,0,0,0,0.562294496995,1,0,0,0.38823479855
44,2,14,12.158639606,4.17009277199,0.659390013954,0,0,0,0.544716962131,1,0,0,0.413279850979
45,3,0,19.3205780041,4.68312357403,0.689915266968,0,0,0,0.54285787396,1,0,0,0.399217949366
46,3,1,11.9920828991,3.69732613417,0.719398198249,0,0,0,0.575328683548,1,0,1,0.421365634352
47,3,2,11.9920828991,3.69732613417,0.71910763959,0,0,0,0.575328683548,1,0,1,0.421365634352
48,3,3,8.66094876047,4.52793709959,0.682231145602,0,0,0,0.5705295554,1,0,0,0.447879798577
49,3,4,9.826845709,3.63517314928,0.632089915923,0,0,0,0.543097400914,1,0,0,0.436585297324
50,3,5,9.826845709,3.63517314928,0.62454130604,0,0,0,0.543097400914,1,0,0,0.436585297324
51,3,6,4.33047438024,6.11149374508,0.634782142618,0,0,0,0.562992762687,1,0,0,0.41310137527
52,3,7,2.49835060398,5.65785483248,0.732060597869,0,0,0,0.526158347914,1,0,0,0.41186950646
53,3,8,2.49835060398,5.65785483248,0.65466422554,0,0,0,0.526158347914,1,0,0,0.41186950646
54,3,9,10.6596292437,5.24966230092,0.588704727787,0,0,0,0.516542127673,1,0,0,0.40423970618
