scene,net,sta,cha,sps,lat,lon,name,rms_um,peak_um,above_floor
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNE,200.0,36.1337,-115.1709,Clark County Firehouse 12; ANSS SM w84gm,0.017,0.0792,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNN,200.0,36.1337,-115.1709,Clark County Firehouse 12; ANSS SM w84gm,0.0182,0.0744,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNZ,200.0,36.1337,-115.1709,Clark County Firehouse 12; ANSS SM w84gm,0.0238,0.0829,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHE,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.1642,0.4354,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHN,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.174,0.4058,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHZ,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.1295,0.3688,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNE,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.025,0.2132,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNN,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.0199,0.1011,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNZ,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.0615,0.4485,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNE,200.0,36.133701,-115.170898,Clark County Firehouse 12; ANSS SM w84gm,0.017,0.0792,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNN,200.0,36.133701,-115.170898,Clark County Firehouse 12; ANSS SM w84gm,0.0182,0.0744,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,CC12,HNZ,200.0,36.133701,-115.170898,Clark County Firehouse 12; ANSS SM w84gm,0.0238,0.0829,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHE,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.1642,0.4354,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHN,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.174,0.4058,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HHZ,100.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.1295,0.3688,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNE,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.025,0.2132,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNN,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.0199,0.1011,0
CAPELLA_C09_SP_CPHD_HH_20231119132416_20231119132442,NN,UNVG,HNZ,200.0,36.1106,-115.1446,"UNLV greenhouse area, Las Vegas Valley",0.0615,0.4485,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH36,EHE,250.0,45.980278,7.670195,"Zermatt, Position 36, VS",0.0143,0.0358,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH36,EHN,250.0,45.980278,7.670195,"Zermatt, Position 36, VS",0.0172,0.045,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH36,EHZ,250.0,45.980278,7.670195,"Zermatt, Position 36, VS",0.0164,0.0649,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH44,EHE,250.0,45.981289,7.671071,"Zermatt, Position 44, VS",0.0142,0.037,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH44,EHN,250.0,45.981289,7.671071,"Zermatt, Position 44, VS",0.0156,0.0512,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH44,EHZ,250.0,45.981289,7.671071,"Zermatt, Position 44, VS",0.0108,0.0348,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHE,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.022,0.0581,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHN,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.0262,0.0875,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHZ,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.017,0.0696,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHE,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.1224,0.4135,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHN,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.1469,0.3486,0
CAPELLA_C13_SP_CPHD_HH_20241001184147_20241001184220,1I,MH48,EHZ,250.0,45.97872,7.663,"Zermatt, Position 48, VS",0.1001,0.2466,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",2.6576,5.5607,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",3.6524,8.3108,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",2.4239,6.1929,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.068,0.1842,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.1006,0.2441,0
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0557,0.1551,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.9487,5.922,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",2.2644,5.1949,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.1337,2.4559,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.057,0.2049,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.093,0.2546,0
CAPELLA_C15_SP_CPHD_HH_20241011085812_20241011085836,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0412,0.1246,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",2.1153,5.5073,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",2.884,7.5443,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.483,3.8887,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0626,0.1825,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0936,0.2641,0
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0496,0.136,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.1232,3.1971,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.425,4.2092,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.8136,1.8286,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0529,0.17,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0803,0.2498,0
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0421,0.1515,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.6269,3.3026,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.6469,3.9491,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.4291,3.1983,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0457,0.1344,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0709,0.22,0
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0431,0.1447,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.7361,4.252,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.9602,5.9042,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.5595,3.4356,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0637,0.1678,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0665,0.2204,0
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0444,0.165,0
