# per-window evidence behind the reported selection
# consensus_hz=0.195402297397 agree=27 voting=170 distinct=12 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.309742440838 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.0651340991323 agree=18 input=170 survivors=65 snr_cull=0 sigma_cull=0 neigh_cull=105 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,passed_gates,agrees_with_consensus,passed_cull
117,7,12,0.0651340991323,10.0921153613,0.439233227679,0,0,0,1,0,1
118,7,13,0.260536396529,12.6486350212,0.438514281005,0,0,0,1,0,1
119,7,14,0.358237545227,4.37289420088,0.451057028753,0,0,0,1,0,1
120,8,0,0.0977011486984,15.7731025903,0.421682139868,0,0,0,1,0,1
121,8,1,0.0977011486984,6.94157768593,0.468298705114,0,0,0,1,0,1
122,8,2,0.162835247831,8.83582122792,0.471989864804,0,0,0,1,0,1
123,8,3,0.227969346963,10.3434625855,0.456791100874,0,0,0,1,0,1
124,8,4,0.227969346963,10.3434625855,0.456791100874,0,0,0,1,0,1
125,8,5,0.130268198265,9.85035612912,0.451166024676,0,0,0,1,0,1
126,8,6,0.130268198265,7.8887665311,0.354866632427,0,0,0,1,0,1
127,8,7,0.227969346963,4.68354234082,0.456831878346,0,0,0,1,0,1
128,8,8,0.227969346963,4.68354234082,0.456831878346,0,0,0,1,0,1
129,8,9,0.162835247831,13.3281134269,0.500221023294,0,0,0,1,0,1
130,8,10,0.195402297397,5.28798581301,0.349401860194,0,0,0,1,1,1
131,8,11,0.195402297397,5.28798581301,0.349401860194,0,0,0,1,1,1
132,8,12,0.195402297397,13.1637391037,0.431575607922,0,0,0,1,1,1
133,8,13,0.260536396529,12.6486350212,0.438514281005,0,0,0,1,0,1
134,8,14,0.195402297397,9.5675168039,0.358620747378,0,0,0,1,1,1
135,9,0,0.0977011486984,7.90161873827,0.0675657202955,0,0,0,0,0,0
136,9,1,0.358237545227,6.03101492504,0.446921997197,0,0,0,1,0,1
137,9,2,0.162835247831,8.83582122792,0.471989864804,0,0,0,1,0,1
138,9,3,0.227969346963,10.3434625855,0.456791100874,0,0,0,1,0,1
139,9,4,0.227969346963,10.3434625855,0.456791100874,0,0,0,1,0,1
140,9,5,0.195402297397,4.94927525221,0.320787650976,0,0,0,1,1,1
141,9,6,0.195402297397,9.93039990865,0.464050033924,0,0,0,1,1,1
142,9,7,0.227969346963,4.68354234082,0.456831878346,0,0,0,1,0,1
143,9,8,0.227969346963,4.68354234082,0.456831878346,0,0,0,1,0,1
144,9,9,0.162835247831,13.3281134269,0.500221023294,0,0,0,1,0,1
145,9,10,0.195402297397,9.60173894415,0.515028041995,0,0,0,1,1,1
146,9,11,0.195402297397,9.60173894415,0.515028041995,0,0,0,1,1,1
147,9,12,0.0651340991323,7.30038509184,0.478027748682,0,0,0,1,0,1
148,9,13,0.0325670495661,7.39506646995,0,0,0,0,0,0,0
149,9,14,0.227969346963,8.0894133898,0.203837116412,0,0,0,0,0,0
150,10,0,0.325670495661,6.66113085357,0.0382326684328,0,0,0,0,0,0
151,10,1,0.227969346963,3.92474992969,0,0,0,0,0,0,0
152,10,2,0.130268198265,10.9834252434,0.461883647639,0,0,0,1,0,1
153,10,3,0.162835247831,7.36812488501,0.461632763249,0,0,0,1,0,1
154,10,4,0.162835247831,7.36812488501,0.461632763249,0,0,0,1,0,1
155,10,5,0.195402297397,4.94927525221,0.320787650976,0,0,0,1,1,1
156,10,6,0.0977011486984,13.8932640132,0.459306934202,0,0,0,1,0,1
157,10,7,0.0977011486984,13.8932640132,0.459306934202,0,0,0,1,0,1
158,10,8,0.195402297397,5.52929369318,0.463569422926,0,0,0,1,1,1
159,10,9,0.0977011486984,16.323335533,0.447982547643,0,0,0,1,0,1
160,10,10,0.195402297397,9.60173894415,0.515028041995,0,0,0,1,1,1
161,10,11,0.195402297397,9.60173894415,0.515028041995,0,0,0,1,1,1
162,10,12,0.227969346963,7.38796752975,0.187689327536,0,0,0,0,0,0
163,10,13,0.162835247831,5.10504175329,0,0,0,0,0,0,0
164,10,14,0.162835247831,5.10504175329,0,0,0,0,0,0,0
165,11,0,0.325670495661,6.66113085357,0.0382326684328,0,0,0,0,0,0
166,11,1,0.0977011486984,14.0067772973,0.279779352583,0,0,0,0,0,0
167,11,2,0.195402297397,11.0203302579,0.451154302477,0,0,0,1,1,1
168,11,3,0.195402297397,11.0203302579,0.451154302477,0,0,0,1,1,1
169,11,4,0.260536396529,8.20882976912,0.462448940523,0,0,0,1,0,1
170,11,5,0.260536396529,8.20882976912,0.462448940523,0,0,0,1,0,1
171,11,6,0.162835247831,8.81668673593,0.533685196066,0,0,0,1,0,1
172,11,7,0.162835247831,8.81668673593,0.533685196066,0,0,0,1,0,1
173,11,8,0.0977011486984,11.9853703956,0.42831700976,0,0,0,1,0,1
174,11,9,0.162835247831,7.93115116768,0.357700083982,0,0,0,1,0,1
175,11,10,0.162835247831,7.93115116768,0.357700083982,0,0,0,1,0,1
176,11,11,0.42337164436,10.1137913992,0.208944787106,0,0,0,0,0,0
177,11,12,0.227969346963,7.38796752975,0.187689327536,0,0,0,0,0,0
178,11,13,0.162835247831,5.10504175329,0,0,0,0,0,0,0
179,11,14,0.162835247831,5.10504175329,0,0,0,0,0,0,0
180,12,0,0.227969346963,6.39414930007,0.211739130092,0,0,0,0,0,0
181,12,1,0.0977011486984,14.0067772973,0.279779352583,0,0,0,0,0,0
182,12,2,0.195402297397,11.0203302579,0.451154302477,0,0,0,1,1,1
183,12,3,0.195402297397,11.0203302579,0.451154302477,0,0,0,1,1,1
184,12,4,0.260536396529,8.20882976912,0.462448940523,0,0,0,1,0,1
