scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,25600,3.0662,14.5903,HHN,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,25600,2.1800,8.8352,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,25088,2.0158,10.1103,HHN,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,24576,2.1540,9.8063,HHN,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,24064,2.7592,11.8784,HHE,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,24064,,,,no channel survived response removal
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,23552,2.1154,8.9367,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,23040,2.7691,10.6242,HHN,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,23040,1.6924,8.1162,HHE,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,22528,1.0860,4.5814,HHE,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,22016,3.1302,13.2193,HHN,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,20480,1.1064,4.9325,HHE,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,20480,1.2876,6.8176,HHN,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,19968,1.0334,4.7135,HHN,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,19456,0.8070,4.3924,HHN,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,19456,2.2846,11.2536,HHN,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456,1.2730,6.3166,HHN,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456,2.1559,9.9626,HHE,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,19456,,,,no channel survived response removal
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,19456,2.0601,8.4295,HHN,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,18944,2.6604,10.3855,HHN,
