scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,24064
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,16384
CAPELLA_C10_SP_CPHD_HH_20240713094741_20240713094811,29.3,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-13T09:47:42Z,2024-07-13T09:48:11Z,13312
CAPELLA_C14_SP_CPHD_HH_20240709040329_20240709040358,29.1,IV,ECNE,37.7653,15.0018,ECNE,INGV,2024-07-09T04:03:57Z,2024-07-09T04:04:26Z,29696
CAPELLA_C14_SP_CPHD_HH_20240709040329_20240709040358,29.1,IV,EBCN,37.752,14.9858,Etna Bocca Nuova,INGV,2024-07-09T04:03:57Z,2024-07-09T04:04:26Z,27648
CAPELLA_C14_SP_CPHD_HH_20240709040329_20240709040358,29.1,IV,EPLC,37.7651,14.9857,Etna Punta Lucia,INGV,2024-07-09T04:03:57Z,2024-07-09T04:04:26Z,26112
CAPELLA_C14_SP_CPHD_HH_20240709040329_20240709040358,29.1,IV,ECPN,37.7437,14.9865,Etna Cratere del Piano,INGV,2024-07-09T04:03:57Z,2024-07-09T04:04:26Z,22528
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,24064
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,23040
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,21504
